iteration,elapsed_ns
0,1383000
1,2383000
2,3383000
3,4383000
4,5383000
5,6383000
6,7383000
7,8387000
8,9384000
9,10384000
10,11384000
11,12384000
12,13384000
13,14384000
14,15384000
15,16384000
16,17384000
17,18385000
18,19385000
19,20385000
20,21385000
21,22385000
22,23385000
23,24388000
24,25385000
25,26385000
26,27385000
27,28385000
28,29385000
29,30385000
30,31386000
31,32386000
32,33389000
33,34386000
34,35386000
35,36386000
36,37386000
37,38386000
38,39386000
39,40386000
40,41387000
41,42387000
42,43387000
43,44387000
44,45387000
45,46387000
46,47390000
47,48387000
48,49387000
49,50388000
50,51388000
51,52388000
52,53388000
53,54388000
54,55388000
55,56388000
56,57388000
57,58388000
58,59388000
59,60389000
60,61389000
61,62389000
62,63389000
63,64389000
64,65389000
65,66389000
66,67389000
67,68389000
68,69389000
69,70389000
70,71390000
71,72390000
72,73390000
73,74393000
74,75390000
75,76390000
76,77390000
77,78390000
78,79390000
79,80390000
80,81391000
81,82391000
82,83391000
83,84391000
84,85391000
85,86391000
86,87391000
87,88391000
88,89391000
89,90391000
90,91391000
91,92392000
92,93392000
93,94392000
94,95392000
95,96392000
96,97392000
97,98392000
98,99392000
99,100392000
100,101393000
101,102393000
102,103393000
103,104393000
104,105393000
105,106393000
106,107393000
107,108393000
108,109393000
109,110393000
110,111394000
111,112394000
112,113394000
113,114394000
114,115394000
115,116394000
116,117394000
117,118394000
118,119394000
119,120394000
120,121398000
121,122394000
122,123395000
123,124395000
124,125395000
125,126395000
126,127395000
127,128395000
128,129395000
129,130395000
130,131395000
131,132395000
132,133395000
133,134395000
134,135395000
135,136396000
136,137396000
137,138396000
138,139396000
139,140396000
140,141396000
141,142396000
142,143396000
143,144396000
144,145396000
145,146397000
146,147397000
147,148397000
148,149397000
149,150397000
150,151397000
151,152397000
152,153397000
153,154400000
154,155397000
155,156397000
156,157398000
157,158398000
158,159401000
159,160398000
160,161398000
161,162398000
162,163398000
163,164398000
164,165398000
165,166398000
166,167398000
167,168399000
168,169399000
169,170399000
170,171399000
171,172399000
172,173399000
173,174399000
174,175399000
175,176399000
176,177399000
177,178399000
178,179399000
179,180400000
180,181400000
181,182400000
182,183400000
183,184400000
184,185400000
185,186400000
186,187400000
187,188400000
188,189400000
189,190400000
190,191401000
191,192401000
192,193401000
193,194401000
194,195401000
195,196401000
196,197404000
197,198401000
198,199401000
199,200401000
200,201401000
201,202401000
202,203402000
203,204402000
204,205402000
205,206402000
206,207402000
207,208402000
208,209402000
209,210402000
210,211402000
211,212402000
212,213406000
213,214403000
214,215403000
215,216403000
216,217403000
217,218403000
218,219403000
219,220403000
220,221403000
221,222404000
222,223404000
223,224404000
224,225404000
225,226404000
226,227404000
227,228404000
228,229404000
229,230404000
230,231404000
231,232404000
232,233404000
233,234405000
234,235405000
235,236405000
236,237405000
237,238405000
238,239408000
239,240405000
240,241405000
241,242405000
242,243405000
243,244405000
244,245405000
245,246406000
246,247406000
247,248406000
248,249406000
249,250406000
250,251409000
251,252406000
252,253406000
253,254410000
254,255406000
255,256407000
256,257407000
257,258407000
258,259407000
259,260407000
260,261407000
261,262407000
262,263410000
263,264407000
264,265407000
265,266411000
266,267408000
267,268408000
268,269408000
269,270408000
270,271408000
271,272408000
272,273408000
273,274408000
274,275408000
275,276408000
276,277409000
277,278409000
278,279409000
279,280409000
280,281409000
281,282409000
282,283409000
283,284409000
284,285409000
285,286409000
286,287409000
287,288409000
288,289409000
289,290410000
290,291410000
291,292410000
292,293410000
293,294410000
294,295410000
295,296410000
296,297410000
297,298411000
298,299410000
299,300411000
300,301411000
301,302411000
302,303411000
303,304411000
304,305411000
305,306411000
306,307411000
307,308414000
308,309411000
309,310414000
310,311411000
311,312412000
312,313412000
313,314412000
314,315412000
315,316412000
316,317415000
317,318412000
318,319412000
319,320412000
320,321412000
321,322413000
322,323413000
323,324413000
324,325413000
325,326413000
326,327413000
327,328413000
328,329413000
329,330413000
330,331417000
331,332414000
332,333414000
333,334414000
334,335414000
335,336414000
336,337417000
337,338414000
338,339417000
339,340414000
340,341415000
341,342415000
342,343415000
343,344415000
344,345415000
345,346415000
346,347415000
347,348415000
348,349415000
349,350416000
350,351419000
351,352416000
352,353416000
353,354416000
354,355416000
355,356416000
356,357416000
357,358416000
358,359416000
359,360416000
360,361416000
361,362417000
362,363417000
363,364417000
364,365417000
365,366417000
366,367417000
367,368417000
368,369417000
369,370417000
370,371417000
371,372418000
372,373418000
373,374418000
374,375418000
375,376418000
376,377418000
377,378418000
378,379418000
379,380418000
380,381418000
381,382419000
382,383419000
383,384419000
384,385419000
385,386419000
386,387419000
387,388419000
388,389419000
389,390419000
390,391419000
391,392420000
392,393420000
393,394420000
394,395420000
395,396420000
396,397420000
397,398420000
398,399420000
399,400420000
400,401423000
401,402420000
402,403421000
403,404421000
404,405421000
405,406421000
406,407424000
407,408421000
408,409421000
409,410421000
410,411421000
411,412421000
412,413422000
413,414422000
414,415422000
415,416422000
416,417422000
417,418422000
418,419422000
419,420422000
420,421422000
421,422422000
422,423422000
423,424423000
424,425423000
425,426423000
426,427423000
427,428423000
428,429423000
429,430423000
430,431423000
431,432423000
432,433423000
433,434424000
434,435424000
435,436424000
436,437424000
437,438424000
438,439424000
439,440424000
440,441424000
441,442425000
442,443428000
443,444425000
444,445425000
445,446425000
446,447425000
447,448425000
448,449425000
449,450425000
450,451425000
451,452425000
452,453426000
453,454425000
454,455426000
455,456426000
456,457426000
457,458426000
458,459426000
459,460426000
460,461426000
461,462426000
462,463426000
463,464426000
464,465426000
465,466430000
466,467427000
467,468430000
468,469427000
469,470427000
470,471427000
471,472427000
472,473427000
473,474427000
474,475427000
475,476428000
476,477428000
477,478428000
478,479428000
479,480428000
480,481428000
481,482428000
482,483428000
483,484428000
484,485428000
485,486429000
486,487429000
487,488429000
488,489429000
489,490429000
490,491429000
491,492429000
492,493429000
493,494429000
494,495429000
495,496430000
496,497430000
497,498430000
498,499430000
499,500430000
500,501430000
501,502430000
502,503430000
503,504430000
504,505433000
505,506430000
506,507430000
507,508431000
508,509434000
509,510431000
510,511431000
511,512431000
512,513431000
513,514431000
514,515431000
515,516434000
516,517431000
517,518431000
518,519431000
519,520432000
520,521432000
521,522432000
522,523432000
523,524432000
524,525432000
525,526432000
526,527432000
527,528432000
528,529433000
529,530433000
530,531433000
531,532433000
532,533433000
533,534433000
534,535433000
535,536433000
536,537433000
537,538434000
538,539434000
539,540434000
540,541434000
541,542434000
542,543434000
543,544434000
544,545434000
545,546434000
546,547435000
547,548435000
548,549435000
549,550435000
550,551435000
551,552435000
552,553435000
553,554435000
554,555435000
555,556435000
556,557435000
557,558436000
558,559436000
559,560436000
560,561436000
561,562436000
562,563436000
563,564436000
564,565436000
565,566436000
566,567436000
567,568437000
568,569437000
569,570437000
570,571437000
571,572437000
572,573437000
573,574437000
574,575441000
575,576437000
576,577441000
577,578437000
578,579441000
579,580438000
580,581438000
581,582441000
582,583438000
583,584438000
584,585438000
585,586438000
586,587438000
587,588441000
588,589438000
589,590438000
590,591438000
591,592439000
592,593439000
593,594439000
594,595439000
595,596439000
596,597439000
597,598439000
598,599442000
599,600439000
600,601439000
601,602439000
602,603439000
603,604440000
604,605440000
605,606440000
606,607440000
607,608440000
608,609440000
609,610440000
610,611440000
611,612440000
612,613440000
613,614440000
614,615441000
615,616441000
616,617441000
617,618441000
618,619441000
619,620441000
620,621441000
621,622441000
622,623441000
623,624441000
624,625441000
625,626441000
626,627442000
627,628442000
628,629445000
629,630442000
630,631442000
631,632442000
632,633442000
633,634442000
634,635442000
635,636443000
636,637443000
637,638443000
638,639443000
639,640443000
640,641447000
641,642443000
642,643443000
643,644443000
644,645444000
645,646444000
646,647447000
647,648444000
648,649444000
649,650444000
650,651447000
651,652444000
652,653444000
653,654444000
654,655445000
655,656448000
656,657448000
657,658445000
658,659445000
659,660445000
660,661445000
661,662445000
662,663449000
663,664445000
664,665445000
665,666446000
666,667446000
667,668449000
668,669446000
669,670446000
670,671449000
671,672446000
672,673446000
673,674446000
674,675450000
675,676446000
676,677446000
677,678447000
678,679450000
679,680447000
680,681450000
681,682447000
682,683447000
683,684447000
684,685447000
685,686448000
686,687448000
687,688448000
688,689448000
689,690448000
690,691448000
691,692448000
692,693448000
693,694448000
694,695448000
695,696448000
696,697448000
697,698449000
698,699449000
699,700449000
700,701449000
701,702452000
702,703449000
703,704449000
704,705449000
705,706449000
706,707449000
707,708449000
708,709450000
709,710450000
710,711450000
711,712450000
712,713450000
713,714450000
714,715450000
715,716450000
716,717450000
717,718450000
718,719450000
719,720450000
720,721450000
721,722451000
722,723451000
723,724451000
724,725451000
725,726451000
726,727451000
727,728451000
728,729451000
729,730451000
730,731451000
731,732452000
732,733452000
733,734452000
734,735452000
735,736452000
736,737455000
737,738455000
738,739452000
739,740455000
740,741452000
741,742452000
742,743452000
743,744453000
744,745453000
745,746453000
746,747453000
747,748453000
748,749453000
749,750453000
750,751456000
751,752453000
752,753453000
753,754457000
754,755454000
755,756454000
756,757454000
757,758454000
758,759454000
759,760454000
760,761454000
761,762454000
762,763454000
763,764454000
764,765454000
765,766455000
766,767455000
767,768455000
768,769455000
769,770455000
770,771455000
771,772455000
772,773455000
773,774455000
774,775455000
775,776456000
776,777456000
777,778456000
778,779456000
779,780456000
780,781456000
781,782456000
782,783456000
783,784456000
784,785456000
785,786456000
786,787456000
787,788457000
788,789457000
789,790457000
790,791457000
791,792457000
792,793457000
793,794457000
794,795457000
795,796457000
796,797457000
797,798458000
798,799458000
799,800458000
800,801458000
801,802458000
802,803458000
803,804458000
804,805458000
805,806458000
806,807458000
807,808459000
808,809459000
809,810459000
810,811459000
811,812459000
812,813459000
813,814459000
814,815459000
815,816459000
816,817459000
817,818459000
818,819460000
819,820460000
820,821460000
821,822460000
822,823460000
823,824460000
824,825460000
825,826460000
826,827460000
827,828460000
828,829460000
829,830460000
830,831461000
831,832461000
832,833461000
833,834461000
834,835461000
835,836464000
836,837465000
837,838461000
838,839461000
839,840461000
840,841461000
841,842461000
842,843461000
843,844462000
844,845462000
845,846462000
846,847462000
847,848465000
848,849462000
849,850462000
850,851466000
851,852463000
852,853463000
853,854463000
854,855463000
855,856463000
856,857463000
857,858463000
858,859463000
859,860467000
860,861463000
861,862463000
862,863464000
863,864464000
864,865464000
865,866467000
866,867464000
867,868464000
868,869464000
869,870464000
870,871468000
871,872464000
872,873465000
873,874465000
874,875465000
875,876465000
876,877465000
877,878465000
878,879465000
879,880465000
880,881465000
881,882465000
882,883465000
883,884466000
884,885466000
885,886466000
886,887466000
887,888466000
888,889466000
889,890466000
890,891466000
891,892466000
892,893466000
893,894466000
894,895466000
895,896466000
896,897467000
897,898467000
898,899470000
899,900467000
900,901470000
901,902467000
902,903467000
903,904467000
904,905467000
905,906470000
906,907467000
907,908467000
908,909468000
909,910468000
910,911468000
911,912468000
912,913468000
913,914468000
914,915468000
915,916468000
916,917468000
917,918468000
918,919469000
919,920469000
920,921469000
921,922469000
922,923469000
923,924469000
924,925469000
925,926469000
926,927469000
927,928470000
928,929470000
929,930470000
930,931470000
931,932470000
932,933470000
933,934470000
934,935470000
935,936470000
936,937470000
937,938470000
938,939471000
939,940471000
940,941471000
941,942471000
942,943471000
943,944471000
944,945471000
945,946471000
946,947471000
947,948471000
948,949475000
949,950475000
950,951475000
951,952472000
952,953472000
953,954472000
954,955472000
955,956472000
956,957472000
957,958476000
958,959472000
959,960472000
960,961473000
961,962473000
962,963473000
963,964473000
964,965473000
965,966473000
966,967473000
967,968473000
968,969473000
969,970473000
970,971473000
971,972473000
972,973474000
973,974474000
974,975474000
975,976474000
976,977474000
977,978474000
978,979474000
979,980474000
980,981474000
981,982475000
982,983475000
983,984475000
984,985475000
985,986475000
986,987475000
987,988479000
988,989475000
989,990475000
990,991476000
991,992476000
992,993476000
993,994479000
994,995476000
995,996476000
996,997476000
997,998476000
998,999476000
999,1000476000
1000,1001476000
1001,1002476000
1002,1003476000
1003,1004477000
1004,1005477000
1005,1006480000
1006,1007477000
1007,1008477000
1008,1009477000
1009,1010477000
1010,1011477000
1011,1012480000
1012,1013477000
1013,1014477000
1014,1015477000
1015,1016477000
1016,1017478000
1017,1018478000
1018,1019478000
1019,1020478000
1020,1021478000
1021,1022478000
1022,1023478000
1023,1024478000
1024,1025478000
1025,1026482000
1026,1027479000
1027,1028479000
1028,1029479000
1029,1030479000
1030,1031479000
1031,1032479000
1032,1033479000
1033,1034479000
1034,1035479000
1035,1036479000
1036,1037483000
1037,1038479000
1038,1039480000
1039,1040480000
1040,1041480000
1041,1042480000
1042,1043480000
1043,1044480000
1044,1045480000
1045,1046480000
1046,1047481000
1047,1048481000
1048,1049481000
1049,1050481000
1050,1051481000
1051,1052481000
1052,1053481000
1053,1054481000
1054,1055481000
1055,1056482000
1056,1057482000
1057,1058482000
1058,1059482000
1059,1060482000
1060,1061482000
1061,1062482000
1062,1063482000
1063,1064485000
1064,1065482000
1065,1066485000
1066,1067482000
1067,1068482000
1068,1069483000
1069,1070483000
1070,1071483000
1071,1072483000
1072,1073483000
1073,1074483000
1074,1075483000
1075,1076483000
1076,1077483000
1077,1078483000
1078,1079484000
1079,1080484000
1080,1081484000
1081,1082484000
1082,1083484000
1083,1084487000
1084,1085484000
1085,1086484000
1086,1087484000
1087,1088484000
1088,1089488000
1089,1090484000
1090,1091485000
1091,1092485000
1092,1093485000
1093,1094485000
1094,1095485000
1095,1096485000
1096,1097485000
1097,1098485000
1098,1099488000
1099,1100485000
1100,1101489000
1101,1102486000
1102,1103486000
1103,1104486000
1104,1105486000
1105,1106486000
1106,1107486000
1107,1108486000
1108,1109486000
1109,1110487000
1110,1111487000
1111,1112487000
1112,1113487000
1113,1114487000
1114,1115487000
1115,1116487000
1116,1117487000
1117,1118490000
1118,1119487000
1119,1120487000
1120,1121488000
1121,1122488000
1122,1123488000
1123,1124488000
1124,1125488000
1125,1126488000
1126,1127488000
1127,1128488000
1128,1129488000
1129,1130488000
1130,1131488000
1131,1132489000
1132,1133489000
1133,1134489000
1134,1135489000
1135,1136489000
1136,1137489000
1137,1138489000
1138,1139489000
1139,1140489000
1140,1141489000
1141,1142489000
1142,1143489000
1143,1144489000
1144,1145490000
1145,1146490000
1146,1147490000
1147,1148490000
1148,1149490000
1149,1150490000
1150,1151493000
1151,1152490000
1152,1153490000
1153,1154490000
1154,1155494000
1155,1156491000
1156,1157491000
1157,1158491000
1158,1159491000
1159,1160491000
1160,1161491000
1161,1162491000
1162,1163491000
1163,1164491000
1164,1165491000
1165,1166491000
1166,1167492000
1167,1168492000
1168,1169492000
1169,1170492000
1170,1171492000
1171,1172492000
1172,1173495000
1173,1174492000
1174,1175492000
1175,1176492000
1176,1177492000
1177,1178492000
1178,1179492000
1179,1180493000
1180,1181493000
1181,1182493000
1182,1183493000
1183,1184493000
1184,1185493000
1185,1186493000
1186,1187493000
1187,1188493000
1188,1189493000
1189,1190493000
1190,1191494000
1191,1192494000
1192,1193494000
1193,1194494000
1194,1195494000
1195,1196494000
1196,1197494000
1197,1198494000
1198,1199494000
1199,1200494000
1200,1201495000
1201,1202495000
1202,1203495000
1203,1204495000
1204,1205495000
1205,1206495000
1206,1207495000
1207,1208495000
1208,1209499000
1209,1210496000
1210,1211496000
1211,1212496000
1212,1213496000
1213,1214496000
1214,1215496000
1215,1216496000
1216,1217496000
1217,1218496000
1218,1219497000
1219,1220497000
1220,1221497000
1221,1222497000
1222,1223497000
1223,1224497000
1224,1225497000
1225,1226500000
1226,1227497000
1227,1228497000
1228,1229498000
1229,1230498000
1230,1231498000
1231,1232498000
1232,1233501000
1233,1234498000
1234,1235498000
1235,1236498000
1236,1237498000
1237,1238498000
1238,1239499000
1239,1240499000
1240,1241499000
1241,1242499000
1242,1243502000
1243,1244499000
1244,1245499000
1245,1246499000
1246,1247499000
1247,1248500000
1248,1249500000
1249,1250500000
1250,1251503000
1251,1252500000
1252,1253500000
1253,1254500000
1254,1255500000
1255,1256503000
1256,1257500000
1257,1258500000
1258,1259501000
1259,1260501000
1260,1261501000
1261,1262501000
1262,1263501000
1263,1264501000
1264,1265501000
1265,1266505000
1266,1267501000
1267,1268501000
1268,1269502000
1269,1270502000
1270,1271502000
1271,1272502000
1272,1273502000
1273,1274502000
1274,1275502000
1275,1276502000
1276,1277502000
1277,1278503000
1278,1279503000
1279,1280503000
1280,1281503000
1281,1282503000
1282,1283503000
1283,1284503000
1284,1285503000
1285,1286503000
1286,1287503000
1287,1288506000
1288,1289503000
1289,1290504000
1290,1291504000
1291,1292504000
1292,1293504000
1293,1294504000
1294,1295504000
1295,1296504000
1296,1297504000
1297,1298504000
1298,1299504000
1299,1300504000
1300,1301504000
1301,1302505000
1302,1303505000
1303,1304508000
1304,1305505000
1305,1306505000
1306,1307505000
1307,1308505000
1308,1309505000
1309,1310505000
1310,1311509000
1311,1312506000
1312,1313506000
1313,1314509000
1314,1315506000
1315,1316506000
1316,1317509000
1317,1318506000
1318,1319506000
1319,1320506000
1320,1321506000
1321,1322507000
1322,1323507000
1323,1324510000
1324,1325507000
1325,1326507000
1326,1327507000
1327,1328507000
1328,1329507000
1329,1330507000
1330,1331507000
1331,1332507000
1332,1333507000
1333,1334507000
1334,1335507000
1335,1336511000
1336,1337511000
1337,1338508000
1338,1339508000
1339,1340508000
1340,1341508000
1341,1342508000
1342,1343508000
1343,1344508000
1344,1345509000
1345,1346512000
1346,1347509000
1347,1348509000
1348,1349509000
1349,1350509000
1350,1351509000
1351,1352509000
1352,1353509000
1353,1354509000
1354,1355509000
1355,1356509000
1356,1357513000
1357,1358510000
1358,1359510000
1359,1360510000
1360,1361510000
1361,1362513000
1362,1363510000
1363,1364510000
1364,1365510000
1365,1366510000
1366,1367510000
1367,1368514000
1368,1369511000
1369,1370511000
1370,1371511000
1371,1372511000
1372,1373511000
1373,1374511000
1374,1375511000
1375,1376511000
1376,1377511000
1377,1378512000
1378,1379512000
1379,1380512000
1380,1381512000
1381,1382515000
1382,1383512000
1383,1384512000
1384,1385512000
1385,1386512000
1386,1387512000
1387,1388512000
1388,1389512000
1389,1390513000
1390,1391513000
1391,1392513000
1392,1393513000
1393,1394513000
1394,1395513000
1395,1396513000
1396,1397516000
1397,1398513000
1398,1399513000
1399,1400514000
1400,1401514000
1401,1402514000
1402,1403514000
1403,1404514000
1404,1405514000
1405,1406514000
1406,1407514000
1407,1408514000
1408,1409514000
1409,1410514000
1410,1411514000
1411,1412515000
1412,1413515000
1413,1414515000
1414,1415515000
1415,1416515000
1416,1417518000
1417,1418515000
1418,1419515000
1419,1420515000
1420,1421516000
1421,1422516000
1422,1423516000
1423,1424516000
1424,1425516000
1425,1426516000
1426,1427516000
1427,1428516000
1428,1429516000
1429,1430516000
1430,1431516000
1431,1432517000
1432,1433517000
1433,1434520000
1434,1435517000
1435,1436517000
1436,1437517000
1437,1438517000
1438,1439517000
1439,1440517000
1440,1441517000
1441,1442521000
1442,1443517000
1443,1444518000
1444,1445518000
1445,1446518000
1446,1447518000
1447,1448518000
1448,1449518000
1449,1450518000
1450,1451518000
1451,1452518000
1452,1453518000
1453,1454518000
1454,1455522000
1455,1456522000
1456,1457519000
1457,1458519000
1458,1459519000
1459,1460519000
1460,1461519000
1461,1462519000
1462,1463519000
1463,1464519000
1464,1465519000
1465,1466519000
1466,1467519000
1467,1468519000
1468,1469520000
1469,1470520000
1470,1471520000
1471,1472520000
1472,1473520000
1473,1474520000
1474,1475520000
1475,1476520000
1476,1477520000
1477,1478521000
1478,1479521000
1479,1480521000
1480,1481521000
1481,1482521000
1482,1483521000
1483,1484521000
1484,1485522000
1485,1486521000
1486,1487521000
1487,1488522000
1488,1489522000
1489,1490522000
1490,1491522000
1491,1492522000
1492,1493522000
1493,1494522000
1494,1495522000
1495,1496522000
1496,1497523000
1497,1498523000
1498,1499523000
1499,1500523000
1500,1501523000
1501,1502526000
1502,1503523000
1503,1504523000
1504,1505523000
1505,1506523000
1506,1507523000
1507,1508524000
1508,1509524000
1509,1510524000
1510,1511524000
1511,1512524000
1512,1513524000
1513,1514524000
1514,1515524000
1515,1516524000
1516,1517524000
1517,1518525000
1518,1519525000
1519,1520525000
1520,1521525000
1521,1522525000
1522,1523525000
1523,1524525000
1524,1525525000
1525,1526525000
1526,1527525000
1527,1528525000
1528,1529525000
1529,1530525000
1530,1531529000
1531,1532526000
1532,1533526000
1533,1534526000
1534,1535526000
1535,1536526000
1536,1537526000
1537,1538526000
1538,1539526000
1539,1540526000
1540,1541526000
1541,1542527000
1542,1543527000
1543,1544527000
1544,1545527000
1545,1546527000
1546,1547527000
1547,1548527000
1548,1549527000
1549,1550527000
1550,1551527000
1551,1552528000
1552,1553528000
1553,1554528000
1554,1555528000
1555,1556528000
1556,1557528000
1557,1558528000
1558,1559528000
1559,1560528000
1560,1561529000
1561,1562529000
1562,1563529000
1563,1564529000
1564,1565532000
1565,1566529000
1566,1567532000
1567,1568529000
1568,1569529000
1569,1570529000
1570,1571529000
1571,1572529000
1572,1573530000
1573,1574530000
1574,1575530000
1575,1576530000
1576,1577530000
1577,1578530000
1578,1579533000
1579,1580530000
1580,1581530000
1581,1582530000
1582,1583530000
1583,1584530000
1584,1585531000
1585,1586531000
1586,1587531000
1587,1588531000
1588,1589531000
1589,1590531000
1590,1591534000
1591,1592531000
1592,1593531000
1593,1594532000
1594,1595532000
1595,1596532000
1596,1597532000
1597,1598532000
1598,1599532000
1599,1600532000
1600,1601532000
1601,1602532000
1602,1603532000
1603,1604532000
1604,1605532000
1605,1606533000
1606,1607533000
1607,1608533000
1608,1609533000
1609,1610533000
1610,1611533000
1611,1612533000
1612,1613533000
1613,1614533000
1614,1615533000
1615,1616533000
1616,1617533000
1617,1618534000
1618,1619534000
1619,1620534000
1620,1621534000
1621,1622534000
1622,1623534000
1623,1624537000
1624,1625534000
1625,1626534000
1626,1627534000
1627,1628534000
1628,1629535000
1629,1630535000
1630,1631535000
1631,1632535000
1632,1633535000
1633,1634535000
1634,1635535000
1635,1636535000
1636,1637535000
1637,1638535000
1638,1639535000
1639,1640535000
1640,1641536000
1641,1642536000
1642,1643536000
1643,1644536000
1644,1645536000
1645,1646536000
1646,1647536000
1647,1648536000
1648,1649536000
1649,1650536000
1650,1651537000
1651,1652537000
1652,1653537000
1653,1654537000
1654,1655537000
1655,1656537000
1656,1657537000
1657,1658537000
1658,1659537000
1659,1660537000
1660,1661537000
1661,1662541000
1662,1663538000
1663,1664538000
1664,1665538000
1665,1666538000
1666,1667538000
1667,1668538000
1668,1669538000
1669,1670538000
1670,1671538000
1671,1672538000
1672,1673538000
1673,1674538000
1674,1675539000
1675,1676539000
1676,1677539000
1677,1678539000
1678,1679539000
1679,1680539000
1680,1681539000
1681,1682539000
1682,1683539000
1683,1684543000
1684,1685539000
