ec_pressure_4,ec_pressure_5,ec_pressure_6,ec_pressure_7,ec_pressure_8,ec_pressure_9,ec_pressure_10,ec_pressure_11,ec_pressure_12,ec_pressure_14,ec_pressure_18,ec_pressure_19,ec_tc_0,ec_tc_1,ec_vlv1_en,ec_vlv2_en,ec_vlv3_en,ec_vlv6_en,ec_vlv7_en,ec_vlv8_en,ec_vlv10_en,ec_vlv11_en,Time
0.0,350.5,-25.9,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.5,0.0,283.29,260.48,1,0,0,0,0,0,0,0,1681142843662715832
0.0,350.5,-26.2,534.9,-21.0,267.6,-0.2,0.1,-0.1,214.9,-548.5,0.0,283.29,260.48,1,0,0,0,0,0,0,0,1681142843668802832
0.0,350.5,-26.2,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.5,-0.1,283.29,260.48,1,0,0,0,0,0,0,0,1681142843674888832
0.0,350.5,-26.2,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.5,-548.5,0.0,283.29,260.35,1,0,0,0,0,0,0,0,1681142843682305832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.5,-548.5,-0.1,283.29,260.35,1,0,0,0,0,0,0,0,1681142843688392832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.8,0.0,283.35,260.35,1,0,0,0,0,0,0,0,1681142843695798832
0.0,350.5,-26.8,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.35,260.35,1,0,0,0,0,0,0,0,1681142843701892832
0.0,350.5,-26.2,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,-0.1,283.35,260.35,1,0,0,0,0,0,0,0,1681142843709300832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,-0.1,-0.1,214.9,-548.5,0.0,283.35,260.35,1,0,0,0,0,0,0,0,1681142843715388832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.2,0.1,283.35,260.35,1,0,0,0,0,0,0,0,1681142843722801832
-1.5,350.5,-26.5,534.9,-21.0,267.6,0.0,-0.1,-0.1,215.5,-548.5,0.1,283.35,260.35,1,0,0,0,0,0,0,0,1681142843728900832
-1.5,350.5,-25.9,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.35,260.4,1,0,0,0,0,0,0,0,1681142843758964832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,-0.3,283.35,260.4,1,0,0,0,0,0,0,0,1681142843765055832
-1.5,350.5,-26.5,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.35,260.4,1,0,0,0,0,0,0,0,1681142843772508832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.5,-548.5,0.0,283.38,260.4,1,0,0,0,0,0,0,0,1681142843778603832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.5,0.1,283.38,260.4,1,0,0,0,0,0,0,0,1681142843786049832
0.0,350.5,-26.8,534.9,-21.0,267.6,-0.2,0.1,-0.1,215.2,-548.2,0.0,283.38,260.4,1,0,0,0,0,0,0,0,1681142843792141832
0.0,350.5,-26.8,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.2,-0.1,283.38,260.4,1,0,0,0,0,0,0,0,1681142843799622832
0.0,350.5,-27.1,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.5,0.1,283.38,260.4,1,0,0,0,0,0,0,0,1681142843805709832
0.0,350.5,-26.8,534.9,-21.0,267.6,-0.2,0.0,-0.1,214.9,-548.5,0.1,283.38,260.4,1,0,0,0,0,0,0,0,1681142843813162832
-1.5,350.5,-26.8,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.38,260.4,1,0,0,0,0,0,0,0,1681142843819251832
0.0,350.5,-26.8,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.5,-548.5,0.0,283.38,260.4,1,0,0,0,0,0,0,0,1681142843826716832
-1.5,350.5,-25.9,534.9,-21.0,267.6,-0.2,-0.1,-0.1,214.9,-548.5,0.0,283.38,260.48,1,0,0,0,0,0,0,0,1681142843855428832
0.0,350.5,-26.2,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843862885832
-1.5,350.5,-26.2,534.9,-21.0,267.6,-0.2,0.0,-0.1,215.2,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843868976832
0.0,350.8,-26.2,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.5,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843876426832
0.0,351.1,-26.2,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.5,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843882526832
-1.5,351.1,-26.5,534.9,-21.0,267.6,-0.2,0.1,-0.1,215.2,-548.5,-0.1,283.31,260.48,1,0,0,0,0,0,0,0,1681142843889979832
0.0,351.1,-26.5,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.2,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843896066832
-1.5,351.1,-26.5,534.9,-21.0,267.6,-0.2,-0.1,-0.1,215.2,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843903524832
0.0,351.1,-26.5,534.9,-21.0,267.6,-0.2,0.1,-0.1,215.2,-548.5,0.0,283.31,260.48,1,0,0,0,0,0,0,0,1681142843909612832
0.0,350.5,-26.5,534.9,-21.0,267.6,-0.2,0.1,-0.1,215.2,-548.5,-0.1,283.31,260.48,1,0,0,0,0,0,0,0,1681142843917107832
