ec_pressure_5,ec_pressure_7,ec_pressure_9,ec_pressure_11,ec_pressure_12,ec_pressure_14,ec_pressure_19,ec_tc_0,ec_tc_1,Time
350.5,534.9,267.6,0.0,-0.1,215.2,0.0,283.29,260.48,1681142843662715832
350.5,534.9,267.6,0.1,-0.1,214.9,0.0,283.29,260.48,1681142843668802832
350.5,534.9,267.6,0.0,-0.1,215.2,-0.1,283.29,260.48,1681142843674888832
350.5,534.9,267.6,0.0,-0.1,215.5,0.0,283.29,260.35,1681142843682305832
350.5,534.9,267.6,0.0,-0.1,215.5,-0.1,283.29,260.35,1681142843688392832
350.5,534.9,267.6,0.0,-0.1,215.2,0.0,283.35,260.35,1681142843695798832
350.5,534.9,267.6,-0.1,-0.1,215.2,0.0,283.35,260.35,1681142843701892832
350.5,534.9,267.6,-0.1,-0.1,215.2,-0.1,283.35,260.35,1681142843709300832
350.5,534.9,267.6,-0.1,-0.1,214.9,0.0,283.35,260.35,1681142843715388832
350.5,534.9,267.6,0.0,-0.1,215.2,0.1,283.35,260.35,1681142843722801832
350.5,534.9,267.6,-0.1,-0.1,215.5,0.1,283.35,260.35,1681142843728900832
350.5,534.9,267.6,-0.1,-0.1,215.2,0.0,283.35,260.4,1681142843758964832
350.5,534.9,267.6,-0.1,-0.1,215.2,-0.3,283.35,260.4,1681142843765055832
350.5,534.9,267.6,-0.1,-0.1,215.2,0.0,283.35,260.4,1681142843772508832
350.5,534.9,267.6,0.0,-0.1,215.5,0.0,283.38,260.4,1681142843778603832
350.5,534.9,267.6,0.0,-0.1,215.2,0.1,283.38,260.4,1681142843786049832
350.5,534.9,267.6,0.1,-0.1,215.2,0.0,283.38,260.4,1681142843792141832
350.5,534.9,267.6,0.0,-0.1,215.2,-0.1,283.38,260.4,1681142843799622832
350.5,534.9,267.6,0.0,-0.1,215.2,0.1,283.38,260.4,1681142843805709832
350.5,534.9,267.6,0.0,-0.1,214.9,0.1,283.38,260.4,1681142843813162832
350.5,534.9,267.6,-0.1,-0.1,215.2,0.0,283.38,260.4,1681142843819251832
350.5,534.9,267.6,0.0,-0.1,215.5,0.0,283.38,260.4,1681142843826716832
350.5,534.9,267.6,-0.1,-0.1,214.9,0.0,283.38,260.48,1681142843855428832
350.5,534.9,267.6,-0.1,-0.1,215.2,0.0,283.31,260.48,1681142843862885832
350.5,534.9,267.6,0.0,-0.1,215.2,0.0,283.31,260.48,1681142843868976832
350.8,534.9,267.6,-0.1,-0.1,215.5,0.0,283.31,260.48,1681142843876426832
351.1,534.9,267.6,-0.1,-0.1,215.5,0.0,283.31,260.48,1681142843882526832
351.1,534.9,267.6,0.1,-0.1,215.2,-0.1,283.31,260.48,1681142843889979832
351.1,534.9,267.6,-0.1,-0.1,215.2,0.0,283.31,260.48,1681142843896066832
351.1,534.9,267.6,-0.1,-0.1,215.2,0.0,283.31,260.48,1681142843903524832
351.1,534.9,267.6,0.1,-0.1,215.2,0.0,283.31,260.48,1681142843909612832
350.5,534.9,267.6,0.1,-0.1,215.2,-0.1,283.31,260.48,1681142843917107832
350.5,534.9,267.6,0.0,-0.1,215.5,0.0,283.31,260.49,1681142843923195832
350.5,534.9,267.6,-0.1,-0.1,215.2,-0.1,283.31,260.49,1681142843930695832
351.1,534.9,267.6,0.0,-0.1,215.2,-0.1,283.35,260.49,1681142843959415832
